"","educ","conpress"
"1338",12,NA
"1339",6,NA
"1340",2,NA
"1341",4,NA
"1342",0,NA
"1343",7,NA
"1344",10,NA
"1345",3,NA
"1346",12,NA
"1347",12,NA
"1348",2,NA
"1349",0,NA
"1350",12,NA
"1351",11,NA
"1352",13,NA
"1353",11,NA
"1354",10,NA
"1355",14,NA
"1356",12,NA
"1357",12,NA
"1358",12,NA
"1359",9,NA
"1360",12,NA
"1361",12,NA
"1362",12,NA
"1363",10,NA
"1364",11,NA
"1365",14,NA
"1366",12,NA
"1367",12,NA
"1368",12,NA
"1369",16,NA
"1370",14,NA
"1371",12,NA
"1372",12,NA
"1373",12,NA
"1374",13,NA
"1375",11,NA
"1376",16,NA
"1377",18,NA
"1378",14,NA
"1379",16,NA
"1380",16,NA
"1381",15,NA
"1382",16,NA
"1383",16,NA
"1384",12,NA
"1385",15,NA
"1386",16,NA
"1387",11,NA
"1388",20,NA
"1389",14,NA
"1390",12,NA
"1391",13,NA
"1392",13,NA
"1393",18,NA
"1394",20,NA
"1395",19,NA
"1396",12,NA
"1397",11,NA
"1398",11,NA
"1399",12,NA
"1400",8,NA
"1401",14,NA
"1402",10,NA
"1403",12,NA
"1404",13,NA
"1405",11,NA
"1406",12,NA
"1407",13,NA
"1408",12,NA
"1409",11,NA
"1410",8,NA
"1411",12,NA
"1412",5,NA
"1413",9,NA
"1414",12,NA
"1415",16,NA
"1416",14,NA
"1417",12,NA
"1418",12,NA
"1419",12,NA
"1420",12,NA
"1421",8,NA
"1422",11,NA
"1423",14,NA
"1424",10,NA
"1425",6,NA
"1426",5,NA
"1427",8,NA
"1428",NA,NA
"1429",10,NA
"1430",12,NA
"1431",15,NA
"1432",12,NA
"1433",11,NA
"1434",3,NA
"1435",8,NA
"1436",12,NA
"1437",13,NA
"1438",16,NA
"1439",12,NA
"1440",15,NA
"1441",8,NA
"1442",9,NA
"1443",16,NA
"1444",12,NA
"1445",11,NA
"1446",1,NA
"1447",6,NA
"1448",10,NA
"1449",9,NA
"1450",8,NA
"1451",12,NA
"1452",10,NA
"1453",10,NA
"1454",20,NA
"1455",13,NA
"1456",14,NA
"1457",12,NA
"1458",16,NA
"1459",12,NA
"1460",12,NA
"1461",16,NA
"1462",6,NA
"1463",12,NA
"1464",7,NA
"1465",6,NA
"1466",0,NA
"1467",6,NA
"1468",6,NA
"1469",9,NA
"1470",10,NA
"1471",12,NA
"1472",12,NA
"1473",12,NA
"1474",12,NA
"1475",12,NA
"1476",16,NA
"1477",16,NA
"1478",20,NA
"1479",16,NA
"1480",14,NA
"1481",12,NA
"1482",12,NA
"1483",11,NA
"1484",11,NA
"1485",16,NA
"1486",12,NA
"1487",12,NA
"1488",12,NA
"1489",12,NA
"1490",12,NA
"1491",12,NA
"1492",11,NA
"1493",7,NA
"1494",10,NA
"1495",13,NA
"1496",10,NA
"1497",12,NA
"1498",13,NA
"1499",12,NA
"1500",10,NA
"1501",11,NA
"1502",7,NA
"1503",12,NA
"1504",12,NA
"1505",0,NA
"1506",4,NA
"1507",11,NA
"1508",15,NA
"1509",11,NA
"1510",10,NA
"1511",12,NA
"1512",12,NA
"1513",9,NA
"1514",12,NA
"1515",12,NA
"1516",11,NA
"1517",12,NA
"1518",14,NA
"1519",12,NA
"1520",12,NA
"1521",16,NA
"1522",12,NA
"1523",16,NA
"1524",18,NA
"1525",16,NA
"1526",19,NA
"1527",16,NA
"1528",18,NA
"1529",13,NA
"1530",8,NA
"1531",8,NA
"1532",12,NA
"1533",12,NA
"1534",12,NA
"1535",12,NA
"1536",17,NA
"1537",12,NA
"1538",12,NA
"1539",12,NA
"1540",12,NA
"1541",19,NA
"1542",12,NA
"1543",16,NA
"1544",17,NA
"1545",19,NA
"1546",13,NA
"1547",14,NA
"1548",10,NA
"1549",11,NA
"1550",13,NA
"1551",16,NA
"1552",8,NA
"1553",2,NA
"1554",9,NA
"1555",10,NA
"1556",16,NA
"1557",12,NA
"1558",12,NA
"1559",13,NA
"1560",17,NA
"1561",12,NA
"1562",14,NA
"1563",11,NA
"1564",11,NA
"1565",10,NA
"1566",12,NA
"1567",10,NA
"1568",11,NA
"1569",12,NA
"1570",12,NA
"1571",11,NA
"1572",14,NA
"1573",12,NA
"1574",8,NA
"1575",12,NA
"1576",12,NA
